混凝土浇筑旁站 问题跟踪周报
生成时间：2026-06-22 02:02:22

一、跟踪概览
指标,数值
上周问题总数,24
本周问题总数,24
已整改关闭,0
仍未整改,19
本周新增,0
标记整改但仍存在,5
历史已关闭,0
整改关闭率,0.0%

二、标记整改但仍存在（需核实）
序号,记录编号,楼栋,部位,强度等级,浇筑日期,监理员,问题类型,严重程度,问题详情,整改建议,责任岗位,指定责任人,计划完成日期,是否整改,实际完成日期,备注
1,20240105_5号楼_C45(多字段缺失),5号楼,三层柱墙,C45,2024-01-05,李四,缺少监理签名,严重,监理员【李四】未签名,请通知该旁站监理员在24小时内完成补签，原件扫描存档,旁站监理员,王工_1,2024-01-06,是,2024-01-07,W1-W1-合格
2,20240114_1号楼_三层柱墙_C40(缺少监理签名),1号楼,三层柱墙,C40,2024-01-14,张三,缺少监理签名,严重,监理员【张三】未签名,请通知该旁站监理员在24小时内完成补签，原件扫描存档,旁站监理员,王工_2,2024-01-07,是,2024-01-08,W1-W2-合格
3,20240105_5号楼_C45(多字段缺失),5号楼,三层柱墙,C45,2024-01-05,李四,缺少试块组数,重要,缺少【试块组数】未填写,请按规范要求补填试块组数（≥100m³不少于1组，不足100m³也需1组）,试验员,王工_4,2024-01-07,是,2024-01-07,W1-W4-合格
4,20240105_5号楼_C45(多字段缺失),5号楼,三层柱墙,C45,2024-01-05,李四,缺少坍落度,重要,缺少【坍落度】未填写,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,王工_3,2024-01-06,是,2024-01-09,W1-W3-合格
5,20240107_5号楼_四层梁板柱_C40(一致性冲突-部位不一致),5号楼,四层梁板,C40,2024-01-07,王五,部位不一致,重要,【浇筑部位】资料不一致：文件夹名：四层梁板 | 日志：四层梁板 | 清单：清单版四层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,王工_5,2024-01-06,是,2024-01-08,W1-W5-合格

三、仍未整改（持续跟踪）
序号,记录编号,楼栋,部位,强度等级,浇筑日期,监理员,问题类型,严重程度,问题详情,整改建议,责任岗位,指定责任人,计划完成日期,是否整改,实际完成日期,备注
1,20240109_1号楼_三层柱墙_C45(一致性冲突-监理员不一致),1号楼,三层柱墙,C45,2024-01-09,赵六,监理员不一致,重要,【监理员】资料不一致：日志：赵六 | 清单：张三,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,李工_6,2024-01-11,否,,W1-处理中
2,20240109_2号楼_五层基础承台_C45(照片时间早于浇筑3天),2号楼,五层基础承台,C45,2024-01-09,张三,照片时间异常,重要,照片整体早于浇筑日期3天 （最早2024-01-06，浇筑2024-01-09），超出允许提前1天范围,请核对照片拍摄时间与实际浇筑时段，必要时补充说明或更换原始照片,施工资料员,李工_7,2024-01-12,否,,W1-处理中
3,20240109_5号楼_五层基础承台_C40(缺少坍落度),5号楼,五层基础承台,C40,2024-01-09,李四,缺少坍落度,重要,缺少【坍落度】未填写,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,李工_8,2024-01-13,否,,W1-处理中
4,20240112_3号楼_二层梁板_C35(缺少试块组数),3号楼,二层梁板,C35,2024-01-12,张三,缺少试块组数,重要,缺少【试块组数】未填写,请按规范要求补填试块组数（≥100m³不少于1组，不足100m³也需1组）,试验员,李工_9,2024-01-10,否,,W1-处理中
5,20240119_1号楼_四层梁板柱_C30(照片不足),1号楼,四层梁板,C30,2024-01-19,王五,部位不一致,重要,【浇筑部位】资料不一致：文件夹名：四层梁板 | 日志：四层梁板 | 清单：四层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,李工_10,2024-01-11,否,,W1-处理中
6,20240122_1号楼_一层梁板柱_C40(完整无缺项),1号楼,一层梁板,C40,2024-01-22,李四,部位不一致,重要,【浇筑部位】资料不一致：文件夹名：一层梁板 | 日志：一层梁板 | 清单：一层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,李工_11,2024-01-12,否,,W1-处理中
7,20240124_1号楼_一层梁板柱_C35(缺少日志文件),1号楼,一层梁板,C35,2024-01-24,张三,部位不一致,重要,【浇筑部位】资料不一致：文件夹名：一层梁板 | 清单：一层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
8,20240124_1号楼_一层梁板柱_C35(缺少日志文件),1号楼,一层梁板,C35,2024-01-24,张三,缺少旁站日志,重要,未找到旁站日志文件,请补做旁站监理日志，需包含人、机、料、法、环五要素并签名,旁站监理员,李工_12,2024-01-13,否,,W1-处理中
9,20240124_3号楼_二层梁板_C45(一致性冲突-强度等级不一致),3号楼,二层梁板,C40,2024-01-24,赵六,强度等级不一致,重要,【强度等级】资料不一致：文件夹名：C45 | 日志：C40 | 清单：C45,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
10,20240125_1号楼_C30P6(缺少部位),1号楼,一层墙板,C30P6,2024-01-25,赵六,部位不一致,重要,【浇筑部位】资料不一致：日志：一层墙板 | 清单：地下室负一层墙板,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
11,20240125_1号楼_C30P6(缺少部位),1号楼,一层墙板,C30P6,2024-01-25,赵六,缺少坍落度,重要,缺少【坍落度】未填写,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,,,否,,
12,未匹配清单-15,2号楼,一层墙板,C40,2024-01-13,李四,清单记录未匹配,重要,清单记录未匹配到对应文件夹：2号楼 一层墙板（2024-01-13），请核对清单条目是否完整或文件夹命名是否规范,请核对该清单条目是否存在对应文件夹，检查文件夹命名是否规范（日期_楼栋_部位_强度），必要时补建文件夹,项目质量总监,,,否,,
13,未匹配清单-15,2号楼,一层墙板,C40,2024-01-13,李四,缺少旁站日志,重要,未找到旁站日志文件,请补做旁站监理日志，需包含人、机、料、法、环五要素并签名,旁站监理员,,,否,,
14,未匹配清单-16,3号楼,一层墙板,C30P6,2024-01-06,赵六,缺少旁站日志,重要,未找到旁站日志文件,请补做旁站监理日志，需包含人、机、料、法、环五要素并签名,旁站监理员,,,否,,
15,未匹配清单-16,3号楼,一层墙板,C30P6,2024-01-06,赵六,清单记录未匹配,重要,清单记录未匹配到对应文件夹：3号楼 一层墙板（2024-01-06），请核对清单条目是否完整或文件夹命名是否规范,请核对该清单条目是否存在对应文件夹，检查文件夹命名是否规范（日期_楼栋_部位_强度），必要时补建文件夹,项目质量总监,,,否,,
16,20240105_5号楼_C45(多字段缺失),5号楼,三层柱墙,C45,2024-01-05,李四,缺少旁站照片,一般,旁站照片数量不足（应有≥3张，实际1张）,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
17,20240119_1号楼_四层梁板柱_C30(照片不足),1号楼,四层梁板,C30,2024-01-19,王五,缺少旁站照片,一般,旁站照片数量不足（应有≥3张，实际1张）,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
18,未匹配清单-15,2号楼,一层墙板,C40,2024-01-13,李四,缺少旁站照片,一般,旁站照片数量不足（应有≥3张，实际0张）,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
19,未匹配清单-16,3号楼,一层墙板,C30P6,2024-01-06,赵六,缺少旁站照片,一般,旁站照片数量不足（应有≥3张，实际0张）,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,

四、本周新增问题
序号,记录编号,楼栋,部位,强度等级,浇筑日期,监理员,问题类型,严重程度,问题详情,整改建议,责任岗位,指定责任人,计划完成日期,是否整改,实际完成日期,备注

五、已整改关闭
序号,记录编号,楼栋,部位,强度等级,浇筑日期,问题类型,严重程度,问题详情,责任人,实际完成日期,备注
